,prices_usd,market_caps,total_volumes
2021-05-14 21:28:27,49871.00560510813,933096788298.7278,59076520529.73586
2021-05-14 21:32:56,49722.257355666254,933096788298.7278,57673260824.370125
2021-05-14 21:38:46,49674.86302292808,929426920180.7671,57626290887.166405
2021-05-14 21:43:37,49846.993208868196,929426920180.7671,59084705101.67502
2021-05-14 21:48:19,49881.21410070062,933288389928.7826,59144780623.944855
2021-05-14 21:54:35,49835.225742740666,933288389928.7826,59088419735.17732
2021-05-14 21:58:48,49807.977163362775,931919057217.1053,57846544368.4134
2021-05-14 22:04:53,49808.38156124715,931919057217.1053,57591320628.17585
2021-05-14 22:09:50,49768.49630839944,931180361063.7786,57618770551.85975
2021-05-14 22:14:09,49755.05910016105,931180361063.7786,57551173629.96873
2021-05-14 22:20:05,49812.08383026835,931877390621.4106,57620729751.22914
2021-05-14 22:25:01,49765.075895723196,931877390621.4106,57557348351.10469
2021-05-14 22:28:55,49764.04930097792,931097455085.277,57525047585.00306
2021-05-14 22:34:18,49851.005429043675,931097455085.277,45293550915.502655
2021-05-14 22:39:49,50286.49167507772,940872478858.1812,59400332229.43222
2021-05-14 22:44:17,50113.98994673849,940872478858.1812,57967627335.68203
2021-05-14 22:48:25,50047.02608717991,936392019518.4753,57851204758.49718
2021-05-14 22:53:39,49985.39470145516,936392019518.4753,57773545376.330574
2021-05-14 22:59:08,49950.26944122073,934582328514.2168,57748005590.37304
2021-05-14 23:01:24,49932.47475913673,934582328514.2168,57742492792.30206
2021-05-14 23:09:48,49927.879932497664,934164014208.8531,57352879556.86899
2021-05-14 23:14:27,49965.25426664895,934164014208.8531,57247700590.64336
2021-05-14 23:20:00,49987.48037636193,935279504398.8352,57109584127.885345
2021-05-14 23:24:12,50166.894376256045,935279504398.8352,57315895142.381775
2021-05-14 23:28:25,50099.77733114868,937381212501.8859,57185477285.96037
2021-05-14 23:33:16,50067.149083525284,937381212501.8859,57037666586.99763
2021-05-14 23:39:11,50106.14117856219,937501534566.9463,57096500073.67782
2021-05-14 23:43:20,50082.07877231215,937501534566.9463,57041090330.33725
2021-05-14 23:48:52,50023.845422052655,935962705739.4398,58163249725.943695
2021-05-14 23:53:51,49949.08601571569,935962705739.4398,56696447596.56649
2021-05-14 23:59:04,49913.26314398822,935962705739.4398,56820196964.51265
2021-05-15 00:04:28,49916.6989947275,933893674714.1202,56647892527.009995
2021-05-15 00:09:24,50010.174319592516,933893674714.1202,56501517157.93356
2021-05-15 00:14:05,50328.47201223153,935707515009.3677,57966225571.55686
2021-05-15 00:19:27,50286.101453069765,935707515009.3677,57790295924.93681
2021-05-15 00:24:08,49723.39769893005,940870206319.7336,56066729024.92355
2021-05-15 00:29:16,49599.176822052985,940870206319.7336,57169405208.32042
2021-05-15 00:31:49,49664.22097369393,929235850851.1317,57306328892.37372
2021-05-15 00:40:36,49610.04396606349,929235850851.1317,57288214212.80769
2021-05-15 00:45:02,49544.04023481596,928222179101.2274,57310972515.68502
2021-05-15 00:49:19,49848.85933301608,928222179101.2274,57665544767.10708
2021-05-15 00:53:30,49645.396968534136,932690851442.9807,57499129633.51408
2021-05-15 00:59:43,49381.630309591914,932690851442.9807,56019795527.6325
2021-05-15 01:02:06,49416.53314422394,923948821203.8307,56046758765.48027
2021-05-15 01:10:08,49697.80181837563,923948821203.8307,57216251844.95318
2021-05-15 01:14:17,49931.98354956799,929864508697.4899,57497157940.94441
2021-05-15 01:19:35,50379.17721911156,929864508697.4899,57954336377.723495
2021-05-15 01:24:00,50518.977470852464,942613600236.0978,58168555743.16419
2021-05-15 01:29:15,50581.76756548681,942613600236.0978,58247118511.83912
2021-05-15 01:34:40,50475.82790537798,946404142803.7007,58144274731.41067
2021-05-15 01:39:33,50451.69390264913,943970415013.9421,58145222793.55774
2021-05-15 01:43:54,50372.523139909346,943970415013.9421,56920849203.5774
2021-05-15 01:49:10,50581.39637490175,946397804663.1871,58382449280.26614
2021-05-15 01:53:14,50561.58803908532,946397804663.1871,58345139775.11226
2021-05-15 01:59:49,50615.466771836946,947035275179.5106,58467782926.39073
2021-05-15 02:02:55,50720.37845524961,947035275179.5106,58310603748.84001
2021-05-15 02:08:56,50639.245186116765,947480836965.7902,58169519345.46421
2021-05-15 02:13:39,50638.802288723215,947480836965.7902,58172500178.12008
2021-05-15 02:18:53,50518.9886369105,945231091219.9138,56852176883.46723
2021-05-15 02:23:40,50682.387530139305,945231091219.9138,58279794232.61854
2021-05-15 02:29:37,50497.665696192424,945231091219.9138,56874753886.04843
2021-05-15 02:34:21,50478.075636251335,944832786683.681,58010816146.90073
2021-05-15 02:38:50,50395.71716619229,942925286359.2534,56775695711.15883
2021-05-15 02:43:26,50378.103436664496,942925286359.2534,56664039764.67035
2021-05-15 02:49:42,50334.72565871111,941784109332.8898,55575975878.25054
2021-05-15 02:53:59,50268.02275945228,941784109332.8898,56607455866.46107
2021-05-15 02:59:26,50239.45458169797,940001546991.7662,57794238775.32981
2021-05-15 03:04:37,50158.14635706695,940001546991.7662,57554975343.0312
2021-05-15 03:08:49,50102.87331941605,937446354144.6749,57315959121.92414
2021-05-15 03:13:20,49998.37228065488,937446354144.6749,56055766311.30905
2021-05-15 03:19:04,49903.01417664656,937446354144.6749,57150798840.729416
2021-05-15 03:24:19,49931.012530025044,933709099176.791,57257515300.69436
2021-05-15 03:29:28,49886.98666756234,933409216868.7584,57236371763.753265
2021-05-15 03:34:13,49842.58955011382,933409216868.7584,56109272995.73641
2021-05-15 03:38:19,49893.475199876855,933409216868.7584,56155808007.951935
2021-05-15 03:43:28,49902.93615886705,933531518472.9696,56146263420.242905
2021-05-15 03:48:24,49891.89172539547,933501890884.7699,56157444951.35538
2021-05-15 03:53:41,49899.81547245865,933501890884.7699,57426665380.464806
2021-05-15 03:58:06,49774.39899381074,931303543952.903,56617258371.53949
2021-05-15 04:03:41,49790.39356207202,931303543952.903,57198933632.66781
2021-05-15 04:08:34,49663.772498671315,929233667689.982,55633141711.17232
2021-05-15 04:14:37,49706.96776923124,929233667689.982,55609727453.13168
2021-05-15 04:18:50,49716.7400162964,930224716057.7336,55675357570.29319
2021-05-15 04:24:33,49750.58478594079,930224716057.7336,55735576052.45226
2021-05-15 04:28:03,49797.98573779438,931744863561.1016,55676641516.29952
2021-05-15 04:33:02,49780.85116890744,931744863561.1016,55748071419.64908
2021-05-15 04:38:35,49738.328303248956,930628643549.6416,55698011695.48264
2021-05-15 04:44:32,49557.451397241595,930628643549.6416,55396629951.00718
2021-05-15 04:48:31,49779.05548574512,931390669212.6456,56784931012.37443
2021-05-15 04:54:30,49501.76534637099,931390669212.6456,56515472077.37152
2021-05-15 04:58:22,49348.29924552877,931390669212.6456,55202943557.00941
2021-05-15 05:02:59,49369.399516298,924360916129.194,56415483509.81457
2021-05-15 05:09:52,49312.300126787886,924360916129.194,55011184661.6342
2021-05-15 05:14:24,49571.87743282318,922658679143.6671,56441401340.444046
2021-05-15 05:18:24,49613.02656628938,928285426603.0356,56508085033.1512
2021-05-15 05:24:27,49684.452971529114,928285426603.0356,56653000221.58379
2021-05-15 05:28:03,49504.056865663864,926246547058.0272,56472665472.26778
2021-05-15 05:33:40,49397.03332044411,926246547058.0272,55308973617.335976
2021-05-15 05:38:32,49358.82296705967,923529491095.7441,55311558713.56332
2021-05-15 05:44:34,49364.605172521166,923529491095.7441,55351845301.87241
2021-05-15 05:48:51,49482.24672699064,923529491095.7441,55565821585.076706
2021-05-15 05:54:07,49759.16253913667,925839705121.9677,57046967935.326035
2021-05-15 05:58:41,49666.69667494611,925839705121.9677,55811517906.50238
2021-05-15 06:04:44,49633.06855463667,929207846950.3635,55640944680.82709
2021-05-15 06:09:41,49594.66422626173,927943444738.6814,56618373884.922745
2021-05-15 06:14:34,49507.21357353402,927943444738.6814,56638934101.38727
2021-05-15 06:19:11,49421.738415148524,924708204233.9877,56565094328.26015
2021-05-15 06:24:37,49232.76720491485,924708204233.9877,55358749497.75942
2021-05-15 06:28:47,49282.70394885982,922107087762.7865,55472178918.97817
2021-05-15 06:33:48,49629.888930023844,922107087762.7865,57073175090.890144
2021-05-15 06:37:38,49423.62715331025,924743840116.8949,56869714862.84267
2021-05-15 06:43:56,49250.76146439935,924743840116.8949,55571042242.16967
2021-05-15 06:49:54,49195.110873042344,920468172086.9329,56726853532.96789
2021-05-15 06:54:23,49015.77840079726,920468172086.9329,56710965261.07988
2021-05-15 07:00:13,48914.11440256764,916731122825.2523,55729919028.033066
2021-05-15 07:03:40,49032.47185543432,916731122825.2523,56992157733.7504
2021-05-15 07:08:19,48986.74674335147,916570786788.4443,56818331226.20941
2021-05-15 07:14:56,48820.74783891726,916570786788.4443,55544115389.292046
2021-05-15 07:18:39,48848.20838742165,913978652826.9825,56721728909.826645
2021-05-15 07:24:21,48807.72628309386,913978652826.9825,56777434919.19555
2021-05-15 07:29:36,48812.53176258829,913311122234.1715,55944630056.69348
2021-05-15 07:34:15,48918.22058070955,913311122234.1715,57170005931.08056
2021-05-15 07:38:27,48858.05703841372,914163855171.286,55890130786.48668
2021-05-15 07:43:56,48889.20117970031,914163855171.286,56110876661.828705
2021-05-15 07:49:48,48924.43633249173,915406145535.9558,56255892571.02235
2021-05-15 07:53:36,48819.81032795938,915406145535.9558,56272336254.42002
2021-05-15 07:59:55,48810.934293556544,913282452924.2305,57526935616.29644
2021-05-15 08:02:46,48714.50536486427,913282452924.2305,57426464432.492874
2021-05-15 08:09:59,48551.6445621267,911599575635.3488,56012786938.04708
2021-05-15 08:14:54,48420.53367091984,911599575635.3488,57198856667.42675
2021-05-15 08:19:53,48460.07857593376,906717727723.8091,57283354150.9087
2021-05-15 08:24:45,48547.964655390075,906717727723.8091,57391123997.02558
2021-05-15 08:28:35,48705.81370813118,911315874672.006,57599109881.39855
2021-05-15 08:33:32,48729.867598123834,911315874672.006,56363097822.014275
2021-05-15 08:39:48,48856.27960840935,914131526648.0942,57613785595.43264
2021-05-15 08:43:51,48758.22843856873,914131526648.0942,56124023287.48224
2021-05-15 08:49:47,48723.79968939231,911652744563.3359,57448840487.84061
2021-05-15 08:54:17,48715.7613533228,911652744563.3359,56242815021.21717
2021-05-15 08:59:50,49065.52991673405,918046730698.292,57945369290.94383
2021-05-15 09:02:23,49139.10948670618,918046730698.292,57978132768.75976
2021-05-15 09:08:18,49322.2666524397,922850435483.8046,58057859699.83815
2021-05-15 09:12:58,49184.73399492881,922850435483.8046,56628740044.36029
2021-05-15 09:18:56,49092.25296702906,918546735671.2181,56763991671.98066
2021-05-15 09:23:52,48983.37142461384,918546735671.2181,57880865520.31587
2021-05-15 09:29:33,48618.46759093051,909681915168.5542,57404092059.143105
2021-05-15 09:34:50,48534.6592008298,909681915168.5542,57311652604.93025
2021-05-15 09:38:22,48670.05558106472,910647450726.7926,57509146683.94804
2021-05-15 09:44:04,48571.44280943546,910647450726.7926,56199626971.18942
2021-05-15 09:48:45,48619.032592616684,909692778417.4241,56234668184.294014
2021-05-15 09:54:40,48815.19915315942,909692778417.4241,57840672374.66658
2021-05-15 09:58:38,48572.16590681223,908816164586.1394,56400455486.549126
2021-05-15 10:04:28,48564.8923097704,908816164586.1394,56410807761.91678
2021-05-15 10:06:59,48527.6886496656,908816164586.1394,57529590861.43396
2021-05-15 10:14:37,48347.04792286739,906593280419.7587,57377780297.64567
2021-05-15 10:18:58,48183.65333876257,901548051546.7579,56105490631.26354
2021-05-15 10:24:08,48113.83284552499,901548051546.7579,55947836626.648254
2021-05-15 10:29:10,48018.881249468155,898465344790.2239,55863912649.91622
2021-05-15 10:35:01,48144.21529617489,898465344790.2239,57621281263.14716
2021-05-15 10:39:52,48267.047408674014,903108699403.9597,57857685031.44326
2021-05-15 10:43:44,48261.42245912636,903108699403.9597,57905949700.05143
2021-05-15 10:50:01,48326.839580253654,902062179423.6058,58059377190.727425
2021-05-15 10:54:31,48291.6850823484,902062179423.6058,56811293837.928276
2021-05-15 10:59:51,48574.711927241915,908866522434.0618,58345372016.251816
2021-05-15 11:03:52,48595.24985700262,908866522434.0618,58336635168.96325
2021-05-15 11:08:17,48696.75503699563,911150374470.7141,58367456754.4187
2021-05-15 11:14:24,48793.800021238785,911150374470.7141,58422063867.143234
2021-05-15 11:18:26,48679.300056190295,910823779561.3599,57082585857.86299
2021-05-15 11:24:51,48854.80942499286,910823779561.3599,58454642736.47233
2021-05-15 11:29:13,48827.281079928274,913592901065.9004,58401117909.610756
2021-05-15 11:34:40,48693.99655689148,913592901065.9004,56979170531.099236
2021-05-15 11:38:58,48682.54571946089,910884800288.3912,58199484215.1551
2021-05-15 11:43:30,48605.372980294225,910884800288.3912,56832136358.57018
2021-05-15 11:50:00,48699.61401310055,911204160112.6045,57045919337.59286
2021-05-15 11:54:39,48927.94540737398,911204160112.6045,58593470196.16316
2021-05-15 11:58:36,48868.60305863678,914366064460.8535,57340862411.48833
2021-05-15 12:03:58,49074.348056672694,914366064460.8535,58544415935.42189
2021-05-15 12:09:18,48908.186153328694,915106692108.204,57083940409.75691
2021-05-15 12:14:27,48882.98749284788,915106692108.204,56824228540.33064
2021-05-15 12:20:08,48862.70756266009,914256048745.1549,58040744191.21938
2021-05-15 12:24:59,48810.73144963266,914256048745.1549,56750362867.5428
2021-05-15 12:29:46,48878.649200127984,914256048745.1549,56862595508.4228
2021-05-15 12:32:55,48941.70802314235,914554963555.0646,56959998138.7226
2021-05-15 12:39:27,49328.61345040095,922974120901.7533,58713300866.91771
2021-05-15 12:44:49,49404.686503226745,922974120901.7533,58913562235.42399
2021-05-15 12:49:33,49176.83127955156,922974120901.7533,55251730374.506516
2021-05-15 12:53:56,49152.76793338385,920134461504.0751,57386896730.25582
2021-05-15 13:00:09,49213.462053977644,920820145351.4554,57386024068.7434
2021-05-15 13:03:07,49193.962598199796,920820145351.4554,56633457592.61915
2021-05-15 13:09:58,49379.76315234058,920820145351.4554,58742093769.33807
2021-05-15 13:15:26,49356.06008356962,923931761465.7355,58739313892.498215
2021-05-15 13:19:55,49125.5492058326,919175525924.1879,57160289385.62064
2021-05-15 13:23:41,49186.3788379812,919175525924.1879,58516899697.86395
2021-05-15 13:29:57,49115.99269951456,918996716590.4932,58443906801.04088
2021-05-15 13:34:38,49020.459800589255,918996716590.4932,58320371589.84928
2021-05-15 13:38:06,48994.446158491664,916722490498.8748,58274888903.73983
2021-05-15 13:44:04,49140.77482862749,916722490498.8748,58469191232.00312
2021-05-15 13:48:24,49435.73814957937,924979391532.0752,58938173622.630936
2021-05-15 13:53:50,49228.984225105254,924979391532.0752,59142336879.14666
2021-05-15 13:58:49,49052.68444471721,917812515473.9926,58911713335.06181
2021-05-15 14:04:46,49180.09196227391,917812515473.9926,59523790797.170265
2021-05-15 14:09:16,49356.51731589959,923497456368.4683,59565439507.97802
2021-05-15 14:13:29,49424.27756187507,923497456368.4683,60004857729.241455
2021-05-15 14:19:59,49380.54252706254,923946986088.2355,60331169727.14486
2021-05-15 14:22:52,49308.923667645235,923946986088.2355,60268235504.083046
2021-05-15 14:28:33,49128.96219217951,919240318884.869,59107720088.36399
2021-05-15 14:33:56,49021.62829748476,919240318884.869,59215455947.01404
2021-05-15 14:39:54,49078.83040364477,918302952945.7565,59650085993.00212
2021-05-15 14:44:09,49138.58363101419,918302952945.7565,59787214995.43738
2021-05-15 14:49:26,49414.5017861852,924583921145.42,61819381806.53558
2021-05-15 14:54:01,49612.500302064356,924583921145.42,62378410536.185486
2021-05-15 15:00:00,49675.90532371078,926494193639.321,62733033906.186714
2021-05-15 15:04:57,49639.72962994096,926494193639.321,62605891048.97788
2021-05-15 15:08:37,49483.812668899096,926494193639.321,60985888163.12057
2021-05-15 15:14:11,49380.8067936854,925032587721.724,60793939548.08097
2021-05-15 15:18:46,49381.310164149865,923964114507.2363,60785803331.86108
2021-05-15 15:23:38,49329.91431749112,923964114507.2363,60751513647.94656
2021-05-15 15:29:34,49293.015438684226,922312049028.2255,61933115642.43208
2021-05-15 15:31:46,49325.953604999064,922312049028.2255,61936317533.92796
2021-05-15 15:37:57,49177.02468726512,920142702944.0974,60407835218.7821
2021-05-15 15:44:59,49140.439325274434,920142702944.0974,61713979344.92661
2021-05-15 15:49:04,48993.19622582375,916703120772.0487,60327410854.85985
2021-05-15 15:54:57,49079.92225748971,916703120772.0487,61690064581.54984
2021-05-15 15:59:43,49053.167386888,917825524990.773,61679663433.80827
2021-05-15 16:02:41,48905.16180709701,917825524990.773,60075801976.7774
2021-05-15 16:08:47,48719.64694250449,911585664956.6316,60621914822.90265
2021-05-15 16:13:09,48573.47529606905,911585664956.6316,60533561850.05685
2021-05-15 16:17:47,48264.12400069212,903062784558.3501,60422190593.372574
2021-05-15 16:23:15,48286.13716339549,903062784558.3501,59306306010.06307
2021-05-15 16:29:37,48205.8033086024,901971844071.583,60529406227.76403
2021-05-15 16:32:14,48140.15886615926,901971844071.583,60485540747.04756
2021-05-15 16:39:51,47993.81365207482,898005624097.688,60656140215.97587
2021-05-15 16:44:03,48111.97259474177,898005624097.688,61006023662.83175
2021-05-15 16:47:48,47883.90446348098,895949128437.3767,59559167933.95436
2021-05-15 16:52:55,47874.68571955316,895949128437.3767,61085353655.35546
2021-05-15 16:59:25,47917.950280273406,896586155017.0571,60092586784.66557
2021-05-15 17:01:56,47901.367862197505,896586155017.0571,60121082780.86631
2021-05-15 17:09:17,47775.70462795974,893924616246.516,60999476133.90495
2021-05-15 17:13:40,47655.70844085867,893924616246.516,59796407921.29974
2021-05-15 17:18:58,47580.929148587704,890280484616.5768,59930886725.43529
2021-05-15 17:24:01,47642.522741728106,890280484616.5768,60088282793.24862
2021-05-15 17:28:27,47698.60204852822,890280484616.5768,60135971669.69199
2021-05-15 17:33:33,47825.80690845342,892483152987.98,60582914659.68508
2021-05-15 17:38:40,48142.790510118284,900794313099.4955,62336046076.469894
2021-05-15 17:43:23,48415.028279968625,900794313099.4955,62810041415.84404
2021-05-15 17:49:29,48206.17654347671,901980611244.1025,61372236669.28666
2021-05-15 17:54:32,48161.40981820958,901980611244.1025,61395563849.213234
2021-05-15 17:59:10,48137.83342848168,900702187496.9779,61422675807.45996
2021-05-15 18:01:33,48010.82252852376,900702187496.9779,61253409487.084854
2021-05-15 18:09:55,47988.697103519175,897912288498.602,62428641317.86613
2021-05-15 18:14:00,47944.51292345158,897912288498.602,62426729241.55484
2021-05-15 18:18:19,47814.78939395009,897912288498.602,62373910256.68358
2021-05-15 18:24:54,47827.925746052286,894658316648.7335,62490479954.19255
2021-05-15 18:28:33,48022.10030137113,894658316648.7335,62823804262.060974
2021-05-15 18:34:28,47970.276604645034,898537580926.7305,62801803127.800896
2021-05-15 18:39:33,48000.1884951852,898127590917.9536,61630116517.51417
2021-05-15 18:44:37,47967.627477748276,898127590917.9536,61645643305.77493
2021-05-15 18:49:57,47968.82054884322,897540667846.1205,61628974662.82205
2021-05-15 18:54:38,47969.08987484117,897540667846.1205,61503468600.94025
2021-05-15 19:00:00,48020.15258447076,898291422761.6339,61596079104.57217
2021-05-15 19:02:57,48021.78510291213,898291422761.6339,61424685734.4939
2021-05-15 19:09:18,47914.812297089135,896530123876.2263,61283487312.26431
2021-05-15 19:13:26,47870.7495601544,896530123876.2263,62465330215.063835
2021-05-15 19:19:07,47556.46293430181,896530123876.2263,62122333269.46372
2021-05-15 19:24:55,47401.776531693555,889825981906.5563,62137880648.85326
2021-05-15 19:28:59,47385.11765005214,886619951087.7136,62233577859.149765
2021-05-15 19:34:25,47311.36555132849,886619951087.7136,62274572426.292274
2021-05-15 19:38:53,47511.35651013884,888982283513.8867,62794956665.96287
2021-05-15 19:44:39,47428.34087569845,888982283513.8867,61424974965.79734
2021-05-15 19:48:44,47747.293258869315,893397216802.0408,63499499187.40207
2021-05-15 19:54:19,47860.12500867651,893397216802.0408,63845947026.92162
2021-05-15 19:58:58,47740.05005733954,893261689620.3773,62489235199.89241
2021-05-15 20:04:42,48162.17207127318,893261689620.3773,64152400619.29447
2021-05-15 20:08:57,48461.08695717077,893261689620.3773,64572371230.33057
2021-05-15 20:13:08,48712.657450695355,913336682042.0022,64980280361.82408
2021-05-15 20:19:56,48415.04822876486,905892418126.876,63410094228.76477
2021-05-15 20:24:34,48296.00942041076,905892418126.876,63382897999.88536
2021-05-15 20:28:44,48330.476024610995,905892418126.876,63480810313.61743
2021-05-15 20:34:10,48440.176510529396,904309990321.2634,63630101865.82675
2021-05-15 20:38:24,48445.35530208871,906459492806.0122,63534322840.5617
2021-05-15 20:43:58,48411.55284445857,906459492806.0122,63435860164.0764
2021-05-15 20:48:31,48388.24245351024,905390856123.8716,62982203214.62482
2021-05-15 20:53:28,48366.91185950215,905390856123.8716,63258059912.95139
2021-05-15 20:59:13,48299.89574521734,903739011189.4915,63618634501.673874
2021-05-15 21:02:16,48193.264640214635,903739011189.4915,62842283066.5411
2021-05-15 21:09:53,48511.473005714535,907697831829.6138,64306490034.60307
2021-05-15 21:13:51,48391.72857838151,907697831829.6138,62320325081.443596
2021-05-15 21:19:53,48342.78710210312,904541889467.4515,62814054125.508736
2021-05-15 21:24:08,48331.81353950208,904541889467.4515,62792195009.48508
2021-05-15 21:24:08,48331.81353950208,904541889467.4515,62792195009.48508
